,OverTime,TrainingTimesLastYear,StockOptionLevel,RelationshipSatisfaction,JobSatisfaction,JobInvolvement,EnvironmentSatisfaction,BusinessTravel,Education,Gender,MaritalStatus,JobLevel,Attrition,PerformanceRating,WorkLifeBalance,Sales_Department,Research & Development_Department,Human Resources_Department,Life Sciences_EducationField,Other_EducationField,Medical_EducationField,Marketing_EducationField,Technical Degree_EducationField,Human Resources_EducationField,Sales Executive_JobRole,Research Scientist_JobRole,Laboratory Technician_JobRole,Manufacturing Director_JobRole,Healthcare Representative_JobRole,Manager_JobRole,Sales Representative_JobRole,Research Director_JobRole,Human Resources_JobRole,PercentSalaryHike,MonthlyRate,HourlyRate,Age,DailyRate,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,0,1,2,3,4,5,6,7,8,MonthlyIncome
0,1,0,0,1,4,3,2,1,2,0,0,2,1,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,19479,94,41,1102,1,8,8,6,4,0,5,5993,-0.26748860638434674,1.6124517166709051,-0.16254093000222844,-0.9328996818539591,-1.4331684204870974,1.0125885530982757,0.830270999008267,1.498482999049193,-0.9063360417008657,5993
1,0,3,1,4,2,2,3,2,1,1,1,2,0,4,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,24907,61,49,279,8,1,10,10,7,1,7,5130,0.8565263222720163,-0.36585171110016296,-0.16518401161686252,1.9444377657225012,1.23791196326463,-0.6738683761466995,1.7239218663269533,-0.3095501796771415,-0.9066844634336895,5130
2,1,3,0,2,3,2,4,1,2,1,0,1,1,3,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15,2396,92,37,1373,2,6,7,0,0,0,0,2090,-2.1978474857891537,1.4319219727780814,1.4086482227387656,-2.193467572963642,-0.5176649161167469,-0.21683224702901766,0.20310419489289122,0.6848134043103262,0.239880399583754,2090
3,1,3,0,3,3,3,4,2,4,0,1,1,0,3,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,23159,56,33,1392,3,1,8,8,7,3,0,2909,-0.5689275192888025,-0.6623740008454208,-0.7090024154919969,-0.5354949687593274,-0.043174366980483075,2.3493781795196487,0.13946510439561308,-0.014291341217859112,0.4502564304372027,2909
4,0,3,1,4,2,3,1,1,1,1,1,1,0,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12,16632,40,27,591,2,9,6,2,2,2,2,3468,-1.5670205647645552,0.9803200622776339,-1.7911464668338406,-0.5416358852832496,0.4802184289975221,0.1048820895617991,-0.4349961707759633,2.3298652611211335,-0.003299968859914403,3468
5,0,2,0,3,4,3,4,2,2,1,0,1,0,3,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,11864,79,32,1005,2,0,8,7,7,3,6,3068,-0.03947623491003321,-1.5347280582807312,0.058506062403526314,-1.1362373226982039,-0.6548600977523779,0.4767630439337276,0.556742455958108,-0.11171116361271519,-0.09991840501558617,3068
6,1,3,3,1,1,4,3,1,3,0,1,1,0,4,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,20,9964,81,59,1324,3,4,12,1,0,0,0,2670,-1.1762015902828937,2.373456524015293,1.5312537816260792,-0.8806439462492828,0.6728245184927255,-0.1771874461233961,0.9041528461301209,-0.49594002638774215,0.296966742969504,2670
7,0,2,1,2,3,3,4,1,1,1,2,1,0,4,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,13335,67,30,1358,24,1,1,1,0,0,0,2693,-2.6765488640409054,-0.38196259296696267,2.4044510034776434,1.11101679038639,1.0229634901187112,0.37722158049379706,-0.46558446994164876,-0.43699717243400543,0.4694180515434683,2693
8,0,2,0,2,3,2,4,2,3,1,0,3,0,4,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,8787,44,38,216,23,0,10,9,7,1,8,9526,0.904574891205305,-1.2844776999651641,0.5439968945688162,1.60604668277455,1.2710080492597695,-1.8120232923418194,-0.9110602903847473,-0.7987941839083366,-0.7915921223161183,9526
9,0,3,2,2,3,3,3,1,3,1,1,2,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13,16577,94,36,1299,27,6,17,7,7,7,7,5237,1.3414587164157745,0.2074484407999577,1.8368867586351585,0.8271024793275129,-1.5601766274217994,1.0448525688857404,-1.0268022682619777,1.7730150049120876,0.56098823533224,5237
